entidad,delitos,acdecttt,acdect1,acdect2,acdect3,acdect4,acdect5,acdect6
"09",60300,"0","0","0","","0","0",""
"09",60400,"294","6","0","","288","0",""
"09",60900,"1","0","0","","1","0",""
"09",70100,"934","501","0","","433","0",""
"09",70101,"934","501","0","","433","0",""
"09",70102,"0","0","0","","0","0",""
"09",70103,"0","0","0","","0","0",""
"09",70104,"0","0","0","","0","0",""
"09",70109,"0","0","0","","0","0",""
"09",70199,"","","","","","",""
"09",70200,"0","0","0","","0","0",""
"09",70201,"0","0","0","","0","0",""
"09",70202,"0","0","0","","0","0",""
"09",70203,"0","0","0","","0","0",""
"09",70204,"0","0","0","","0","0",""
"09",70205,"0","0","0","","0","0",""
"09",70206,"0","0","0","","0","0",""
"09",70209,"0","0","0","","0","0",""
"09",70299,"","","","","","",""
"09",70300,"8","3","0","","5","0",""
"09",70400,"188","91","0","","97","0",""
"09",70500,"0","0","0","","0","0",""
"09",70600,"0","0","0","","0","0",""
"09",70900,"0","0","0","","0","0",""
"09",80100,"1325","526","0","","799","0",""
"09",80101,"292","82","0","","210","0",""
"09",80102,"849","411","0","","438","0",""
"09",80103,"163","23","0","","140","0",""
"09",80104,"7","2","0","","5","0",""
"09",80105,"2","1","0","","1","0",""
"09",80106,"0","0","0","","0","0",""
"09",80107,"12","7","0","","5","0",""
"09",80109,"0","0","0","","0","0",""
"09",80199,"","","","","","",""
"09",80200,"684","290","0","","394","0",""
"09",80201,"0","0","0","","0","0",""
"09",80209,"684","290","0","","394","0",""
"09",80299,"","","","","","",""
"09",80300,"0","0","0","","0","0",""
"09",80400,"69","0","0","","69","0",""
"09",80900,"0","0","0","","0","0",""
"09",90100,"6395","25","0","","6370","0",""
"09",90200,"485","4","0","","481","0",""
"09",90300,"388","214","0","","174","0",""
"09",90400,"3659","1500","0","","2159","0",""
"09",90500,"483","161","0","","322","0",""
"09",90501,"0","0","0","","0","0",""
"09",90502,"0","0","0","","0","0",""
"09",90503,"0","0","0","","0","0",""
"09",90509,"483","161","0","","322","0",""
"09",90599,"","","","","","",""
"09",90600,"103","2","0","","101","0",""
"09",90700,"0","0","0","","0","0",""
"09",90701,"0","0","0","","0","0",""
"09",90709,"0","0","0","","0","0",""
"09",90799,"","","","","","",""
"09",90800,"0","0","0","","0","0",""
"09",90900,"0","0","0","","0","0",""
"09",91000,"0","0","0","","0","0",""
"09",91100,"0","0","0","","0","0",""
"09",91200,"627","306","0","","321","0",""
"09",91300,"2","1","0","","1","0",""
"09",91400,"574","283","0","","291","0",""
"09",91500,"1474","29","0","","1445","0",""
"09",91600,"0","0","0","","0","0",""
"09",91900,"2288","1345","0","","943","0",""
"09",999999,"","","","","","",""
"10",10100,"497","6","0","","491","0",""
"10",10200,"1","0","0","","1","0",""
"10",10300,"0","0","0","","0","0",""
"10",10400,"4569","23","0","","4546","0",""
"10",10900,"23","0","0","","23","0",""
"10",20100,"73","0","0","","73","0",""
"10",20200,"0","0","0","","0","0",""
"10",20300,"49","0","0","","49","0",""
"10",20400,"0","0","0","","0","0",""
"10",20500,"1","0","0","","1","0",""
"10",20600,"11","0","0","","11","0",""
"10",20601,"11","0","0","","11","0",""
"10",20602,"0","0","0","","0","0",""
"10",20603,"0","0","0","","0","0",""
"10",20604,"0","0","0","","0","0",""
"10",20609,"0","0","0","","0","0",""
"10",20699,"","","","","","",""
"10",20900,"0","0","0","","0","0",""
"10",30100,"398","0","0","","398","0",""
"10",30200,"5","0","0","","5","0",""
"10",30300,"19","0","0","","19","0",""
"10",30400,"116","4","0","","112","0",""
"10",30500,"20","0","0","","10","10",""
"10",30600,"53","0","0","","53","0",""
"10",30700,"0","0","0","","0","0",""
"10",30900,"289","0","0","","254","35",""
"10",40100,"9720","98","0","","9422","200",""
"10",40101,"44","0","0","","44","0",""
"10",40102,"2811","56","0","","2755","0",""
"10",40103,"1171","4","0","","1167","0",""
"10",40104,"121","0","0","","121","0",""
"10",40105,"573","0","0","","573","0",""
"10",40106,"0","0","0","","0","0",""
"10",40107,"0","0","0","","0","0",""
"10",40108,"5","0","0","","5","0",""
"10",40109,"37","0","0","","37","0",""
"10",40110,"0","0","0","","0","0",""
"10",40111,"504","0","0","","504","0",""
"10",40112,"2","0","0","","2","0",""
"10",40113,"1022","0","0","","1022","0",""
"10",40114,"163","4","0","","159","0",""
"10",40115,"0","0","0","","0","0",""
"10",40116,"0","0","0","","0","0",""
"10",40119,"3267","34","0","","3033","200",""
"10",40199,"","","","","","",""
"10",40200,"0","0","0","","0","0",""
"10",40300,"2226","200","0","","2026","0",""
"10",40400,"713","4","0","","709","0",""
"10",40500,"49","0","0","","49","0",""
"10",40501,"44","0","0","","44","0",""
"10",40509,"5","0","0","","5","0",""
"10",40599,"","","","","","",""
"10",40600,"2735","0","0","","2735","0",""
"10",40700,"498","12","0","","486","0",""
"10",40900,"11","0","0","","11","0",""
"10",50100,"4707","0","0","","4707","0",""
"10",50200,"163","0","0","","163","0",""
"10",50900,"249","0","0","","249","0",""
"10",60100,"0","0","0","","0","0",""
"10",60101,"0","0","0","","0","0",""
"10",60102,"0","0","0","","0","0",""
"10",60103,"0","0","0","","0","0",""
"10",60104,"0","0","0","","0","0",""
"10",60105,"0","0","0","","0","0",""
"10",60106,"0","0","0","","0","0",""
"10",60109,"0","0","0","","0","0",""
"10",60199,"","","","","","",""
"10",60200,"0","0","0","","0","0",""
"10",60201,"0","0","0","","0","0",""
"10",60202,"0","0","0","","0","0",""
"10",60203,"0","0","0","","0","0",""
"10",60209,"0","0","0","","0","0",""
"10",60299,"","","","","","",""
"10",60300,"0","0","0","","0","0",""
"10",60400,"5","0","0","","5","0",""
"10",60900,"1","0","0","","1","0",""
"10",70100,"610","2","0","","608","0",""
"10",70101,"0","0","0","","0","0",""
"10",70102,"610","2","0","","608","0",""
"10",70103,"0","0","0","","0","0",""
"10",70104,"0","0","0","","0","0",""
"10",70109,"0","0","0","","0","0",""
"10",70199,"","","","","","",""
"10",70200,"0","0","0","","0","0",""
"10",70201,"0","0","0","","0","0",""
"10",70202,"0","0","0","","0","0",""
"10",70203,"0","0","0","","0","0",""
"10",70204,"0","0","0","","0","0",""
"10",70205,"0","0","0","","0","0",""
