entidad,delitos,cecccd1,cecccd2,cecccd3,cecccd4,cecccd5,cecccd6,cecccd7,cecccd8,cecccd9,cecccd10,cecccd11,cecccd12,cecccd13,cecccd14,cecccd15,cecccd16,cecccd17,cecccd18,cecccd19,cecccd20,cecccd21,cecccd22,cecccd23,cecccd24,cecccd25,cecccd26,cecccd27,cecccd28,cecccd29,cecccd30,cecccd31,cecccd32,cecccd33,cecccd34,cecccd35,cecccd36,cecccd37,cecccd38,cecccd39,cecccd40,cecccd41,cecccd42,cecccd45,cecccd46,cecccd47,cecccd48,cecccd49,cecccd50,cecccd51,cecccd52,cecccd53,cecccd54,cecccd55,cecccd56,cecccd57,cecccd58
"05",30200,"0","0","14","0","","","NSS","0","NSS","0","14","","14","0","0","0","0","0","","","14","0","0","0","","","14","0","0","0","","","14","0","0","0","0","0","0","0","0","0","0","0","0","0","14","0","0","0","0","0","0","0","",""
"05",30300,"0","0","0","0","","","0","0","0","0","","","0","0","0","0","0","0","","","0","0","0","0","","","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",""
"05",30400,"16","0","0","0","","","NSS","0","NSS","0","16","","16","0","0","0","0","0","","","16","0","0","0","","","16","0","0","0","","","10","0","6","0","0","0","0","0","0","0","0","0","0","0","15","0","0","0","0","0","1","0","",""
"05",30500,"10","0","0","1","","","NSS","NSS","NSS","NSS","10","1","10","1","0","0","0","0","","","10","1","0","0","","","10","1","0","0","","","6","1","4","0","0","0","0","0","0","0","0","0","0","0","10","1","0","0","0","0","0","0","",""
"05",30600,"0","0","11","0","","","NSS","0","NSS","0","11","","11","0","0","0","0","0","","","11","0","0","0","","","11","0","0","0","","","11","0","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","",""
"05",30700,"0","0","0","0","","","0","0","0","0","","","0","0","0","0","0","0","","","0","0","0","0","","","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",""
"05",30900,"0","0","2","0","","","NSS","0","NSS","0","2","","2","0","0","0","0","0","","","2","0","0","0","","","2","0","0","0","","","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","",""
"05",40100,"1027","0","0","0","","","NSS","0","NSS","0","1027","","1027","0","0","0","0","0","","","1027","0","0","0","","","276","0","751","0","","","909","0","106","0","12","0","0","0","0","0","49","0","54","0","329","0","15","0","16","0","564","0","",""
"05",40101,"302","0","0","0","","","NSS","0","NSS","0","302","","302","0","0","0","0","0","","","302","0","0","0","","","0","0","302","0","","","302","0","0","0","0","0","0","0","0","0","0","0","0","0","203","0","0","0","5","0","94","0","",""
"05",40102,"213","0","0","0","","","NSS","0","NSS","0","213","","213","0","0","0","0","0","","","213","0","0","0","","","10","0","203","0","","","200","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","213","0","",""
"05",40103,"118","0","0","0","","","NSS","0","NSS","0","118","","118","0","0","0","0","0","","","118","0","0","0","","","115","0","3","0","","","70","0","48","0","0","0","0","0","0","0","18","0","10","0","10","0","0","0","0","0","80","0","",""
"05",40104,"28","0","0","0","","","NSS","0","NSS","0","28","","28","0","0","0","0","0","","","28","0","0","0","","","0","0","28","0","","","28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","28","0","",""
"05",40105,"145","0","0","0","","","NSS","0","NSS","0","145","","145","0","0","0","0","0","","","145","0","0","0","","","100","0","45","0","","","138","0","5","0","2","0","0","0","0","0","9","0","16","0","46","0","12","0","6","0","56","0","",""
"05",40106,"0","0","0","0","","","0","0","0","0","","","0","0","0","0","0","0","","","0","0","0","0","","","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",""
"05",40107,"0","0","0","0","","","0","0","0","0","","","0","0","0","0","0","0","","","0","0","0","0","","","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",""
"05",40108,"0","0","0","0","","","0","0","0","0","","","0","0","0","0","0","0","","","0","0","0","0","","","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",""
"05",40109,"0","0","0","0","","","0","0","0","0","","","0","0","0","0","0","0","","","0","0","0","0","","","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",""
"05",40110,"0","0","0","0","","","0","0","0","0","","","0","0","0","0","0","0","","","0","0","0","0","","","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",""
"05",40111,"0","0","0","0","","","0","0","0","0","","","0","0","0","0","0","0","","","0","0","0","0","","","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",""
"05",40112,"2","0","0","0","","","NSS","0","NSS","0","2","","2","0","0","0","0","0","","","2","0","0","0","","","0","0","2","0","","","0","0","2","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","",""
"05",40113,"206","0","0","0","","","NSS","0","NSS","0","206","","206","0","0","0","0","0","","","206","0","0","0","","","51","0","155","0","","","158","0","38","0","10","0","0","0","0","0","20","0","28","0","66","0","0","0","5","0","87","0","",""
"05",40114,"8","0","0","0","","","NSS","0","NSS","0","8","","8","0","0","0","0","0","","","8","0","0","0","","","0","0","8","0","","","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","6","0","",""
"05",40115,"1","0","0","0","","","NSS","0","NSS","0","1","","1","0","0","0","0","0","","","1","0","0","0","","","0","0","1","0","","","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","",""
"05",40116,"0","0","0","0","","","0","0","0","0","","","0","0","0","0","0","0","","","0","0","0","0","","","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",""
"05",40119,"4","0","0","0","","","NSS","0","NSS","0","4","","4","0","0","0","0","0","","","4","0","0","0","","","0","0","4","0","","","4","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","",""
"05",40199,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"05",40200,"0","0","0","0","","","0","0","0","0","","","0","0","0","0","0","0","","","0","0","0","0","","","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",""
"05",40300,"0","0","288","0","","","NSS","0","NSS","0","288","","175","0","0","0","113","0","","","288","0","0","0","","","0","0","288","0","","","252","0","16","0","20","0","0","0","0","0","0","0","0","0","0","0","0","0","73","0","215","0","",""
"05",40400,"0","0","84","0","","","NSS","0","NSS","0","84","","84","0","0","0","0","0","","","84","0","0","0","","","0","0","84","0","","","84","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","84","0","",""
