entidad,delisele,pedesitt,pedesi1,pedesi2,pedesi3,pedesi4,pedesi5,pedesi6,pedesi7,pedesi8,pedesi9
"23",20609,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"23",91400,"0","0","0","0","0","0","0","0","0","0"
"23",999999,"","","","","","","","","",""
"24",10100,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"24",10400,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"24",20100,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"24",20500,"0","0","0","0","0","0","0","0","0","0"
"24",20600,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"24",20601,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"24",20602,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"24",20603,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"24",20604,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"24",20609,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"24",91400,"0","0","0","0","0","0","0","0","0","0"
"24",999999,"","","","","","","","","",""
"25",10100,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"25",10400,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"25",20100,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"25",20500,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"25",20600,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"25",20601,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"25",20602,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"25",20603,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"25",20604,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"25",20609,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"25",91400,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"25",999999,"","","","","","","","","",""
"26",10100,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"26",10400,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"26",20100,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"26",20500,"0","0","0","0","0","0","0","0","0","0"
"26",20600,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"26",20601,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"26",20602,"NSS","NSS","0","0","NSS","0","0","NSS","0","0"
"26",20603,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"26",20604,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"26",20609,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"26",91400,"0","0","0","0","0","0","0","0","0","0"
"26",999999,"","","","","","","","","",""
"27",10100,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"27",10400,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"27",20100,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"27",20500,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"27",20600,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"27",20601,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"27",20602,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"27",20603,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"27",20604,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"27",20609,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"27",91400,"0","0","0","0","0","0","0","0","0","0"
"27",999999,"","","","","","","","","",""
"28",10100,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"28",10400,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"28",20100,"0","0","0","0","0","0","0","0","0","0"
"28",20500,"0","0","0","0","0","0","0","0","0","0"
"28",20600,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"28",20601,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"28",20602,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"28",20603,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"28",20604,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"28",20609,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"28",91400,"0","0","0","0","0","0","0","0","0","0"
"28",999999,"","","","","","","","","",""
"29",10100,"0","0","0","0","0","0","0","0","0","0"
"29",10400,"0","0","0","0","0","0","0","0","0","0"
"29",20100,"0","0","0","0","0","0","0","0","0","0"
"29",20500,"0","0","0","0","0","0","0","0","0","0"
"29",20600,"0","0","0","0","0","0","0","0","0","0"
"29",20601,"0","0","0","0","0","0","0","0","0","0"
"29",20602,"0","0","0","0","0","0","0","0","0","0"
"29",20603,"0","0","0","0","0","0","0","0","0","0"
"29",20604,"0","0","0","0","0","0","0","0","0","0"
