entidad,nacional,avcahmtt,avcahm1,avcahm2,avcahm4,avcahm5
"27",4,"0","0","0","0","0"
"27",5,"0","0","0","0","0"
"27",6,"3","0","0","3","0"
"27",7,"7","0","0","7","0"
"27",8,"2","2","0","0","0"
"27",9,"0","0","0","0","0"
"27",10,"10","0","0","8","2"
"27",11,"0","0","0","0","0"
"27",12,"0","0","0","0","0"
"27",13,"0","0","0","0","0"
"27",14,"73","2","1","57","13"
"27",15,"0","0","0","0","0"
"27",16,"5","3","1","1","0"
"27",17,"0","0","0","0","0"
"27",18,"1","0","0","1","0"
"27",19,"2","0","0","2","0"
"27",20,"59461","12865","1352","41534","3710"
"28",1,"28753","4614","1106","16943","6090"
"28",2,"57","4","1","41","11"
"28",3,"3","0","0","3","0"
"28",4,"0","0","0","0","0"
"28",5,"0","0","0","0","0"
"28",6,"3","0","0","2","1"
"28",7,"6","0","1","5","0"
"28",8,"1","0","0","1","0"
"28",9,"0","0","0","0","0"
"28",10,"2","0","0","1","1"
"28",11,"0","0","0","0","0"
"28",12,"0","0","0","0","0"
"28",13,"0","0","0","0","0"
"28",14,"12","1","0","10","1"
"28",15,"0","0","0","0","0"
"28",16,"1","1","0","0","0"
"28",17,"0","0","0","0","0"
"28",18,"1","0","0","1","0"
"28",19,"0","0","0","0","0"
"28",20,"664","0","0","471","193"
"29",1,"NSS","NSS","NSS","NSS","NSS"
"29",2,"NSS","NSS","NSS","NSS","NSS"
"29",3,"NSS","NSS","NSS","NSS","NSS"
"29",4,"NSS","NSS","NSS","NSS","NSS"
"29",5,"NSS","NSS","NSS","NSS","NSS"
"29",6,"NSS","NSS","NSS","NSS","NSS"
"29",7,"NSS","NSS","NSS","NSS","NSS"
"29",8,"NSS","NSS","NSS","NSS","NSS"
"29",9,"NSS","NSS","NSS","NSS","NSS"
"29",10,"NSS","NSS","NSS","NSS","NSS"
"29",11,"NSS","NSS","NSS","NSS","NSS"
"29",12,"NSS","NSS","NSS","NSS","NSS"
"29",13,"NSS","NSS","NSS","NSS","NSS"
"29",14,"NSS","NSS","NSS","NSS","NSS"
"29",15,"NSS","NSS","NSS","NSS","NSS"
"29",16,"NSS","NSS","NSS","NSS","NSS"
"29",17,"NSS","NSS","NSS","NSS","NSS"
"29",18,"NSS","NSS","NSS","NSS","NSS"
"29",19,"NSS","NSS","NSS","NSS","NSS"
"29",20,"1227","646","115","415","51"
