entidad,vict_del,stpvnitt,stpvni1,stpvni2,stpvni3,stpvni4,stpvni5,stpvni6,stpvni7,stpvni8,stpvni9,stpvni10,stpvni11,stpvni12,stpvni13,stpvni14,stpvni15,stpvni16,stpvni17,stpvni18
"23",4,"13","5","0","0","0","3","0","0","0","NSS","1","3","1","0","0","0","0","0","NSS"
"23",5,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"23",6,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"23",9,"61","","","","1","1","","","","45","7","6","","","","","","","1"
"24",1,"1163","539","402","103","71","36","5","5","2","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"24",2,"58","20","38","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"24",3,"6","2","4","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"24",4,"NSS","0","0","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"24",5,"NSS","0","0","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"24",6,"NSS","0","0","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"24",9,"568","","","71","90","312","50","25","9","11","","","","","","","","",""
"25",1,"967","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","291","365","73","238","0","0","0","0","0"
"25",2,"193","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","58","126","5","4","0","0","0","0","0"
"25",3,"19","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","3","14","1","1","0","0","0","0","0"
"25",4,"4","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","1","2","1","0","0","0","0","0","0"
"25",5,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","0","0","0","0","0","0","0","0","0"
"25",6,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","0","0","0","0","0","0","0","0","0"
"25",9,"3","","","","","","","","","","1","2","","","","","","",""
"26",1,"6011","1629","1668","437","198","894","0","0","0","318","302","244","15","99","191","14","0","0","2"
"26",2,"670","186","182","6","25","88","0","0","0","107","30","30","1","1","10","4","0","0","0"
"26",3,"188","56","36","7","10","28","0","0","0","29","12","8","0","0","2","0","0","0","0"
"26",4,"34","11","3","0","1","5","0","0","0","5","5","3","1","0","0","0","0","0","0"
"26",5,"9","1","0","0","0","1","0","0","0","1","3","3","0","0","0","0","0","0","0"
"26",6,"3","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"26",9,"","","","","","","","","","","","","","","","","","",""
"27",1,"2738","234","408","276","48","6","0","0","0","134","383","1164","0","0","0","0","0","0","85"
"27",2,"227","35","34","4","6","0","0","0","0","21","55","70","0","0","0","0","0","0","2"
"27",3,"103","31","46","0","2","0","0","0","0","2","6","14","0","0","0","0","0","0","2"
"27",4,"9","0","0","0","0","0","0","0","0","0","3","6","0","0","0","0","0","0","0"
"27",5,"3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"27",6,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"27",9,"","","","","","","","","","","","","","","","","","",""
"28",1,"2272","320","251","527","356","0","0","0","0","0","291","447","1","79","0","0","0","0","0"
"28",2,"288","73","45","107","0","0","0","0","0","0","27","36","0","0","0","0","0","0","0"
"28",3,"81","17","15","42","0","0","0","0","0","0","3","4","0","0","0","0","0","0","0"
"28",4,"63","14","9","33","0","0","0","0","0","0","5","1","1","0","0","0","0","0","0"
"28",5,"8","1","0","6","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"28",6,"147","29","13","103","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0"
"28",9,"","","","","","","","","","","","","","","","","","",""
"29",1,"1084","500","339","16","77","25","0","0","0","3","48","36","11","14","11","2","0","0","2"
