entidad,tipomult,stpsextt,stpsex1,stpsex2,stpsex3,stpsex4,stpsex5,stpsex6
"18",99,"74","12","2","24","31","4","1"
"19",1,"9","8","0","","1","NSS",""
"19",2,"NSS","NSS","NSS","","NSS","NSS",""
"19",3,"NSS","NSS","NSS","","NSS","NSS",""
"19",4,"NSS","NSS","NSS","","NSS","NSS",""
"19",5,"NSS","NSS","NSS","","NSS","NSS",""
"19",6,"NSS","NSS","NSS","","NSS","NSS",""
"19",7,"NSS","NSS","NSS","","NSS","NSS",""
"19",8,"NSS","NSS","NSS","","NSS","NSS",""
"19",9,"NSS","NSS","NSS","","NSS","NSS",""
"19",10,"NSS","NSS","NSS","","NSS","NSS",""
"19",11,"NSS","NSS","NSS","","NSS","NSS",""
"19",99,"539","31","2","503","1","","2"
"20",1,"NSS","NSS","NSS","","0","0",""
"20",2,"NSS","NSS","NSS","","0","0",""
"20",3,"NSS","NSS","NSS","","0","0",""
"20",4,"NSS","NSS","NSS","","0","0",""
"20",5,"NSS","NSS","NSS","","0","0",""
"20",6,"NSS","NSS","NSS","","0","0",""
"20",7,"NSS","NSS","NSS","","0","0",""
"20",8,"NSS","NSS","NSS","","0","0",""
"20",9,"NSS","NSS","NSS","","0","0",""
"20",10,"NSS","NSS","NSS","","0","0",""
"20",11,"NSS","NSS","NSS","","0","0",""
"20",99,"102","","","102","","",""
"21",1,"293","272","21","","0","0",""
"21",2,"119","114","5","","0","0",""
"21",3,"75","65","9","","1","NSS",""
"21",4,"32","25","3","","4","NSS",""
"21",5,"4","2","1","","1","NSS",""
"21",6,"0","0","0","","0","0",""
"21",7,"3","3","0","","0","0",""
"21",8,"0","0","0","","0","0",""
"21",9,"1","1","0","","0","0",""
"21",10,"1","1","0","","0","0",""
"21",11,"9","8","1","","0","0",""
"21",99,"104","91","5","3","4","1",""
"22",1,"107","99","6","","2","0",""
"22",2,"48","40","4","","4","0",""
"22",3,"11","8","2","","1","0",""
"22",4,"4","3","0","","1","0",""
"22",5,"0","0","0","","0","0",""
"22",6,"0","0","0","","0","0",""
"22",7,"0","0","0","","0","0",""
"22",8,"1","1","0","","0","0",""
"22",9,"1","1","0","","0","0",""
"22",10,"0","0","0","","0","0",""
"22",11,"5","0","0","","5","0",""
"22",99,"29","22","1","","6","",""
"23",1,"47","14","2","","31","0",""
"23",2,"10","0","0","","10","0",""
"23",3,"6","1","0","","3","2",""
"23",4,"1","0","0","","1","0",""
"23",5,"2","0","1","","1","0",""
"23",6,"1","1","0","","0","0",""
"23",7,"0","0","0","","0","0",""
"23",8,"5","0","0","","5","0",""
"23",9,"1","0","0","","1","0",""
"23",10,"0","0","0","","0","0",""
"23",11,"9","0","0","","9","0",""
"23",99,"21","6","","","15","",""
"24",1,"270","250","19","","1","0",""
"24",2,"224","212","11","","1","0",""
"24",3,"30","28","0","","2","0",""
"24",4,"10","8","0","","1","1",""
"24",5,"19","17","0","","2","0",""
"24",6,"12","4","4","","4","0",""
"24",7,"7","7","0","","NSS","0",""
"24",8,"6","5","0","","1","0",""
"24",9,"3","3","0","","NSS","0",""
"24",10,"11","8","3","","NSS","0",""
"24",11,"115","114","0","","1","0",""
"24",99,"","","","","","",""
"25",1,"NSS","NSS","NSS","","NSS","NSS",""
"25",2,"NSS","NSS","NSS","","NSS","NSS",""
"25",3,"1","1","NSS","","NSS","NSS",""
"25",4,"NSS","NSS","NSS","","NSS","NSS",""
"25",5,"NSS","NSS","NSS","","NSS","NSS",""
"25",6,"NSS","NSS","NSS","","NSS","NSS",""
"25",7,"NSS","NSS","NSS","","NSS","NSS",""
"25",8,"NSS","NSS","NSS","","NSS","NSS",""
"25",9,"NSS","NSS","NSS","","NSS","NSS",""
"25",10,"NSS","NSS","NSS","","NSS","NSS",""
"25",11,"NSS","NSS","NSS","","NSS","NSS",""
"25",99,"1098","347","26","717","3","","5"
"26",1,"1654","1385","64","","192","13",""
"26",2,"95","91","3","","1","0",""
"26",3,"8","7","0","","1","0",""
"26",4,"3","3","0","","0","0",""
"26",5,"1","1","0","","0","0",""
"26",6,"1","1","0","","0","0",""
"26",7,"0","0","0","","0","0",""
